# IATA	 FR Name / Nom FR	 EN name / Nom EN	 Province	 AUTO/MAN	Latitude	Longitude	 Elevation (m)	 # ICAO	# WMO	# Climate / Climat	DST Time Zone / Fuseau horaire été	 STD Time Zone / Fuseau horaire heure normale
YOY	BFC Valcartier	CFB Valcartier	QC	Auto	46.900278	-71.503333	167.6	CYOY	71716	7018573	EDT	EST
YOY	BFC Valcartier	CFB Valcartier	QC	Manned	46.9	-71.5	167.6	CYOY	71716	7018574	EDT	EST
WTN	Cap Tourmente	Cap Tourmente	QC	Auto	47.078611	-70.780833	6	CWTN	71384	7041JG6	EDT	EST
WQW	Cap Whittle	Cap Whittle	QC	Auto	50.163056	-60.061667	7	CWQW	71374	7041100	ADT	AST
WSG	Cap-Chat	Cap-Chat	QC	Auto	49.109167	-66.654444	5	CWSG	71428	705S002	EDT	EST
WQM	Cap-Rouge	Cap-Rouge	QC	Auto	48.374167	-70.535278	7.3	CWQM	71186	7041166	EDT	EST
WRZ	Cap-d'Espoir	Cap-d'Espoir	QC	Auto	48.419444	-64.316944	15.4	CWRZ	71429	7051050	EDT	EST
WEE	Chamouchouane	Chamouchouane	QC	Auto	49.278611	-73.355556	303.8	CWEE	71523	7061288	EDT	EST
WUK	Chapais	Chapais	QC	Auto	49.8225	-74.975278	381.1	CWUK	71824	7091299	EDT	EST
WIS	Charlevoix	Charlevoix	QC	Auto	47.284167	-70.6375	722.74	CWIS	71319	7041312	EDT	EST
WDM	Chevery	Chevery	QC	Auto	50.465	-59.639444	7.7	CWDM	71814	7041382	AST	AST
YMT	Aéroport de Chibougamau Chapais	Chibougamau Chapais Airport	QC	Manned	49.766667	-74.533333	387.1	CYMT	71822	7091404	EDT	EST
WDT	Chute-Des-Passes	Chute-Des-Passes	QC	Auto	49.840278	-71.168333	398.2	CWDT	71522	7061541	EDT	EST
WHQ	Deschambault	Deschambault	QC	Auto	46.690833	-71.971667	61	CWHQ	71389	7011983	EDT	EST
ZEM	Aéroport d'Eastmain	Eastmain Aiport	QC	Manned	52.233333	-78.516667	7.315	CZEM		709230N	EDT	EST
MFM	Foret Montmorency	Foret Montmorency	QC	Auto	47.322778	-71.148333	672.8	CMFM	71212	7042395	EDT	EST
WFQ	Frelighsburg	Frelighsburg	QC	Auto	45.050278	-72.861667	152.4	CWFQ	71373	7022579	EDT	EST
YGP	Aéroport de Gaspé	Gaspé Airport	QC	Manned	48.775278	-64.479722	34.1	CYGP	71188	7052601	EDT	EST
YND	Aéroport de Gatineau	Gatineau Airport	QC	Manned	45.521667	-75.563611	64.3	CYND		7032682	EDT	EST
MGB	Granby	Granby	QC	Auto	45.372778	-72.773889	86	CMGB		7022802	EDT	EST
YGV	Aéroport de Havre-Saint-Pierre	Havre-Saint-Pierre Airport	QC	Auto	50.281944	-63.611389	37.8	CYGV	71584	7043019	EDT	EST
WHP	Heath Point	Heath Point	QC	Auto	49.085278	-61.700556	7	CWHP	71423	7053038	ADT	AST
XHF	High Falls	High Falls	QC	Auto	45.839444	-75.648056	194.6	CXHF	71391	7033121	EDT	EST
YPH	Aéroport d'Inukjuak	Inukjuak Airport	QC	Manned	58.471944	-78.076944	26.21	CYPH		7103283	EDT	EST
YPH	Aéroport d'Inukjuak	Inukjuak Airport	QC	Auto	58.471944	-78.076944	25.3	CYPH	71306	7103280	EDT	EST
MQV	Ivujivik	Ivujivik	QC	Auto	62.419204	-77.928229	47	CMQV		7103325	EDT	EST
YIK	Aéroport d'Ivujivik	Ivujivik Airport	QC	Manned	62.415556	-77.925278	38.7	CYIK		7103327	EDT	EST
WJO	Jonquière	Jonquière	QC	Auto	48.425003	-71.1425	135.62	CWJO	71617	7063370	EDT	EST
YLU	Aéroport de Kangiqsualujjuaq	Kangiqsualujjuaq Airport	QC	Manned	58.707522	-65.987506	66.142	CYLU		711L380	EDT	EST
MQK	Kangiqsujuaq	Kangiqsujuaq	QC	Auto	61.575656	-71.906345	145	CMQK		7113385	EDT	EST
YAS	Aéroport de Kangirsuk	Kangirsuk Airport	QC	Manned	60.023056	-70.003611	123.75	CYAS		7113382	EDT	EST
YVP	Aéroport de Kuujjuaq	Kuujjuaq Airport	QC	Manned	58.089444	-68.422222	39.9	CYVP	71906	7113535	EDT	EST
YGW	Aéroport de Kuujjuarapik	Kuujjuarapik Airport	QC	Auto	55.281944	-77.765278	12.2	CYGW		7103537	EDT	EST
WIZ	L'Acadie	L'Acadie	QC	Auto	45.293889	-73.349444	43.8	CWIZ	71372	702LED4	EDT	EST
WEW	L'Assomption	L'Assomption	QC	Auto	45.809444	-73.434722	21	CWEW	71524	7014160	EDT	EST
WPD	L'Étape	L'Étape	QC	Auto	47.562222	-71.228889	791.2	CWPD	71382	7015791	EDT	EST
WUX	La Baie	La Baie	QC	Auto	48.298103	-70.919537	151.64	CWUX	71388	706Q001	EDT	EST
YAD	Aéroport de La Grande III	La Grande III Airport	QC	Manned	53.566667	-76.2	236.22	CYAD		7093GAL	EDT	EST
YAH	Aéroport de La Grande IV	La Grande IV Airport	QC	Auto	53.754722	-73.675278	306.3	CYAH	71003	7093714	EDT	EST
YGL	Aéroport de La Grande Rivière	La Grande Rivière Airport	QC	Manned	53.625278	-77.704167	194.8	CYGL	71827	7093716	EDT	EST
WST	La Pocatière	La Pocatière	QC	Auto	47.355833	-70.031944	31	CWST	71713	7054096	EDT	EST
WDQ	La Tuque	La Tuque	QC	Auto	47.411111	-72.7875	168.9	CWDQ	71378	707DBD4	EDT	EST
WDE	Lac Benoit	Lac Benoit	QC	Auto	51.5325	-71.110833	549	CWDE	71520	706I001	EDT	EST
WEO	Lac Eon	Lac Eon	QC	Auto	51.867222	-63.283611	588.9	CWEO	71421	704C64L	EDT	EST
WDP	Lac Manouane East	Lac Manouane Est	QC	Auto	50.656389	-70.531944	497	CWDP	71521	706I155	EDT	EST
WTT	Lac Memphremagog	Lac Memphremagog	QC	Auto	45.266667	-72.166667	208.7	CWTT		702CFGG	EDT	EST
WBS	Lac Saint-Pierre	Lac Saint-Pierre	QC	Auto	46.183333	-72.916667	16.2	CWBS	71198	701LP0N	EDT	EST
XLT	Laterriere	Laterriere	QC	Auto	48.307222	-71.129167	162.7	CXLT	71040	7064181	EDT	EST
MLU	Lemieux	Lemieux	QC	Auto	46.303611	-72.060833	97.2	CMLU	71616	701Q009	EDT	EST
WQH	Lennoxville	Lennoxville	QC	Auto	45.368889	-71.823611	181	CWQH	71611	7024280	EDT	EST
WBT	Longue-Pointe-de-Mingan	Longue-Pointe-de-Mingan	QC	Auto	50.271389	-64.226389	11	CWBT	71512	7044328	EDT	EST
WMJ	Aéroport de Maniwaki	Maniwaki Airport	QC	Auto	46.274722	-75.991944	199.7	CWMJ	71721	7034482	EDT	EST
GMG	Matagami	Matagami	QC	Auto	49.757783	-77.793072	281.025	CGMG	71821	7094637	EDT	EST
YNM	Aéroport de Matagami	Matagami Airport	QC	Auto	49.761667	-77.802778	279.8	CYNM	71947	7094636	EDT	EST
WTA	McTavish	McTavish	QC	Auto	45.506111	-73.578889	72.6	CWTA	71612	7024745	EDT	EST
WIX	Mistook	Mistook	QC	Auto	48.598333	-71.715833	112.5	CWIX	71381	7065012	EDT	EST
YYY	Aéroport de Mont-Joli	Mont-Joli Airport	QC	Manned	48.608889	-68.2075	52.4	CYYY	71718	7055121	EDT	EST
WTQ	Montréal	Montréal	QC	Auto	45.467778	-73.741667	32.1	CWTQ	71183	702S006	EDT	EST
YMX	Aéroport int. de Montréal-Mirabel	Montréal-Mirabel Int'l Airport	QC	Manned	45.680556	-74.038611	82.3	CYMX		7034900	EDT	EST
YUL	Aéroport int. de Montréal-Trudeau	Montréal-Trudeau Int'l Airport	QC	Manned	45.470556	-73.740833	36	CYUL	71627	7025251	EDT	EST
MNT	Natashquan	Natashquan	QC	Auto	50.190001	-61.810834	11.7	CMNT	71813	7045401	EDT	EST
YNA	Aéroport de Natashquan	Natashquan Airport	QC	Auto	50.19	-61.788889	11.9	CYNA	71513	7045398	EDT	EST
YHH	Aéroport de Nemiscau	Nemiscau Airport	QC	Manned	51.7	-76.116667	244.5	CYHH		7095412	EDT	EST
WOC	New Carlisle	New Carlisle	QC	Auto	48.011944	-65.331667	46.4	CWOC	71619	7055422	EDT	EST
WNQ	Nicolet	Nicolet	QC	Auto	46.225833	-72.657222	8	CWNQ	71723	7025442	EDT	EST
WOD	Normandin	Normandin	QC	Auto	48.841667	-72.546944	137.2	CWOD	71379	7065639	EDT	EST
WXC	Onatchiway	Onatchiway	QC	Auto	48.894167	-71.031667	304	CWXC	71387	7065738	EDT	EST
WPK	Parent	Parent	QC	Auto	47.922224	-74.624169	444.708	CWPK	71726	7075800	EDT	EST
MIN	Pingualuit (Parc national)	Pingualuit (Parc national)	QC	Auto	61.312833	-73.668407	503.4	CMIN	71976	7115800	EDT	EST
WQV	Pointe Claveau	Pointe Claveau	QC	Auto	48.260278	-70.114444	4	CWQV	71189	704607C	EDT	EST
WQD	Pointe de l'lslet	Pointe de l'Islet	QC	Auto	48.135556	-69.716389	7	CWQD	71190	7046059	EDT	EST
WIP	Pointe-Noire	Pointe-Noire	QC	Auto	50.1625	-66.433889	24	CWIP	71390	704Q003	EDT	EST
WYQ	Pointe-au-Père	Pointe-au-Père	QC	Auto	48.513889	-68.468333	4.9	CWYQ	71554	7056068	EDT	EST
WTG	Pointe-des-Monts	Pointe-des-Monts	QC	Auto	49.316667	-67.381111	5.9	CWTG	71427	704F0PN	EDT	EST
WBY	Port Menier	Port Menier	QC	Auto	49.838611	-64.293333	55.2	CWBY	71810	7056202	EDT	EST
MQP	Puvirnituq	Puvirnituq	QC	Auto	60.021398	-77.335717	12	CMQP		7106225	EDT	EST
YPX	Aéroport de Puvirnituq	Puvirnituq Airport	QC	Manned	60.05	-77.283333	25.3	CYPX		7106222	EDT	EST
YPX	Aéroport de Puvirnituq	Puvirnituq Airport	QC	Auto	60.052222	-77.2875	25.3	CYPX		7106223	EDT	EST
MQQ	Quaqtaq	Quaqtaq	QC	Auto	61.04598	-69.606319	50	CMQQ		7116275	EDT	EST
YHA	Aéroport de Quaqtaq	Quaqtaq Airport	QC	Manned	61.04836	-69.623902	32.309	CYHA		7116272	EDT	EST
WQB	Québec	Quebec	QC	Auto	46.803611	-71.381667	60	CWQB	71714	701S001	EDT	EST
YQB	Aéroport int. Lesage de Québec	Quebec Lesage Int'l Airport	QC	Manned	46.791111	-71.393333	74.4	CYQB		7016293	EDT	EST
MRF	Rivière aux Feuilles	Rivière aux Feuilles	QC	Auto	57.909446	-72.975834	171.39	CMRF	71743	7116505	EDT	EST
WNH	Rivière-du-Loup	Rivière-du-Loup	QC	Auto	47.805833	-69.548611	146.5	CWNH	71715	7056616	EDT	EST
WSF	Rivière-la-Madeleine	Rivière-la-Madeleine	QC	Auto	49.250833	-65.324722	29	CWSF	71425	7051163	EDT	EST
YRJ	Aéroport de Roberval	Roberval Airport	QC	Manned	48.52	-72.265833	178.6	CYRJ	71728	7066686	EDT	EST
WUY	Rouyn	Rouyn	QC	Auto	48.245833	-79.034167	318	CWUY	71734	7086716	EDT	EST
YUY	Aéroport de Rouyn	Rouyn Airport	QC	Manned	48.206111	-78.835556	301.1	CYUY		7086719	EDT	EST
WBZ	Saint-Anicet	Saint-Anicet	QC	Auto	45.120833	-74.289444	49.1	CWBZ	71712	702FQLF	EDT	EST
MSI	Saint-Germain-de-Grantham	Saint-Germain-de-Grantham	QC	Auto	45.825333	-72.536972	85	CMSI	71967	7027470	EDT	EST
YHU	Aéroport de Saint-Hubert	Saint-Hubert Airport	QC	Auto	45.5175	-73.416944	27.4	CYHU	71371	7027329	EDT	EST
WJT	Saint-Jovite	Saint-Jovite	QC	Auto	46.080278	-74.555833	238.5	CWJT	71376	703GDKB	EDT	EST
MMY	Saint-Michel-des-Saints	Saint-Michel-des-Saints	QC	Auto	46.815558	-74.093903	429.9	CMMY	71737	7077571	EDT	EST
WVQ	Sainte-Anne-de-Bellevue	Sainte-Anne-de-Bellevue	QC	Auto	45.427222	-73.929167	39	CWVQ	71377	702FHL8	EDT	EST
WIT	Sainte-Clothilde	Sainte-Clothilde	QC	Auto	45.167222	-73.678889	53	CWIT	71614	7027039	EDT	EST
WJB	Sainte-Foy - Université Laval	Sainte-Foy - Laval University	QC	Auto	46.780278	-71.2875	91.4	CWJB	71392	701Q004	EDT	EST
YZG	Aéroport de Salluit	Salluit Airport	QC	Manned	62.181946	-75.669445	227.076	CYZG		711GG87	EDT	EST
GKL	Schefferville	Schefferville	QC	Auto	54.8	-66.8	517.2	CGKL	71828	7117827	EDT	EST
YKL	Aéroport de Schefferville	Schefferville Airport	QC	Auto	54.805278	-66.805278	520.9	CYKL	71921	7117823	EDT	EST
XZV	Sept-Îles	Sept-Îles	QC	Auto	50.216667	-66.25	52.6	CXZV	71279	7047914	EDT	EST
YZV	Aéroport de Sept-Îles	Sept-Îles Airport	QC	Manned	50.223333	-66.265556	54.9	CYZV		7047911	EDT	EST
XSH	Shawinigan	Shawinigan	QC	Auto	46.563333	-72.733333	110	CXSH	71370	7018001	EDT	EST
YSC	Aéroport de Sherbrooke	Sherbrooke Airport	QC	Auto	45.438611	-71.691389	241.4	CYSC	71610	7028123	EDT	EST
YTQ	Aéroport de Tasiujaq	Tasiujaq Airport	QC	Manned	58.671111	-69.948611	36.9	CYTQ		7118369	EDT	EST
WBA	Barrage Témiscaming	Temiskaming Dam	QC	Auto	46.709722	-79.101111	181.4	CWBA	71732	7080468	EDT	EST
MTH	Thetford Mines	Thetford Mines	QC	Auto	46.049167	-71.266112	430	CMTH	71494	7028442	EDT	EST
WTY	Trois-Rivières	Trois-Rivières	QC	Auto	46.353611	-72.516111	6	CWTY	71724	7018562	EDT	EST
YRQ	Aéroport de Trois-Rivières	Trois-Rivières Airport	QC	Auto	46.351667	-72.680556	60.7	CYRQ		7018561	EDT	EST
MQU	Umiujaq	Umiujaq	QC	Auto	56.543916	-76.543317	15	CMQU		7108565	EDT	EST
YMU	Aéroport d'Umiujaq	Umiujaq Airport	QC	Manned	56.532222	-76.520002	76.5	CYMU		7108568	EDT	EST
GVO	Val-D'Or	Val-D'Or	QC	Auto	48.05639	-77.786391	338.877	CGVO	71725	7098603	EDT	EST
YVO	Aéroport régional de Val-d'Or	Val-d'Or Regional Airport	QC	Auto	48.053333	-77.782778	337.4	CYVO	71941	7098605	EDT	EST
YVO	Aéroport régional de Val-d'Or	Val-d'Or Regional Airport	QC	Manned	48.053333	-77.782778	337.4	CYVO		7098606	EDT	EST
WHM	Varennes	Varennes	QC	Auto	45.723056	-73.376667	17.9	CWHM	71184	702327X	EDT	EST
YKQ	Aéroport de Waskaganish	Waskaganish Airport	QC	Manned	51.473333	-78.758333	24.079	CYKQ		7098896	EDT	EST
YNC	Aéroport de Wemindji	Wemindji Airport	QC	Manned	53.016667	-78.833333	20.11	CYNC		7098904	EDT	EST
WQO	Île Bicquette	Île Bicquette	QC	Auto	48.415556	-68.892778	7	CWQO	71385	705LKPQ	EDT	EST
WAF	Île Rouge	Île Rouge	QC	Auto	48.068889	-69.555556	5.9	CWAF	71426	7043BP9	EDT	EST
WQR	Île aux Perroquets	Île aux Perroquets	QC	Auto	50.220833	-64.207222	9	CWQR	71375	7043B79	EDT	EST
WIG	Île aux-Grues	Île aux-Grues	QC	Auto	47.073611	-70.533056	18.3	CWIG		701LBPH	EDT	EST
WER	Île d'Orléans	Île d'Orléans	QC	Auto	46.996667	-70.808333	3.6	CWER	71424	70132G9	EDT	EST
WGR	Îles de la Madeleine	Îles de la Madeleine	QC	Auto	47.425278	-61.774722	7.6	CWGR	71710	7053KGR	ADT	AST
YGR	Aéroport des Îles de la Madeleine	Îles de la Madeleine Airport	QC	Manned	47.425	-61.778056	10.7	CYGR	71709	7053250	ADT	AST
YKY	Kindersley Airport	Aéroport de Kindersley	SK	Manned	51.515278	-109.180556	693.7	CYKY	71129	4043901	CST	CST
WJI	Aéroport d'Assiniboia	Assiniboia Airport	SK	Auto	49.729192	-105.946114	725.5	CWJI	71487	4020286	CST	CST
XBK	Bratt's Lake	Bratt's Lake	SK	Auto	50.200556	-104.71	580	CXBK	71569	4010811	CST	CST
WIK	Broadview	Broadview	SK	Auto	50.368056	-102.570833	599.8	CWIK	71861	4010879	CST	CST
WVT	Buffalo Narrows	Buffalo Narrows	SK	Auto	55.840558	-108.420558	440.1	CWVT	71077	4060983	CST	CST
YVT	Aéroport de Buffalo Narrows	Buffalo Narrows Airport	SK	Manned	55.841944	-108.4175	433.7	CYVT		4060984	CST	CST
YMJ	BFC Moose Jaw	CFB Moose Jaw	SK	Manned	50.333333	-105.566667	576.7	CYMJ	71864	4015320	CST	CST
WWC	Collins Bay	Collins Bay	SK	Auto	58.183333	-103.7	492.1	CWWC	71075	4061629	CST	CST
WAQ	Coronach	Coronach	SK	Auto	49.05	-105.483333	756	CWAQ	71516	40318MN	CST	CST
WVP	Parc provincial de Cypress Hills	Cypress Hills Provincial Park	SK	Auto	49.640558	-109.514446	1270.6	CWVP	71139	4031999	CST	CST
WEH	Eastend	Eastend	SK	Auto	49.437781	-108.988625	1079.6	CWEH	71131	4032322	CST	CST
WOK	Elbow	Elbow	SK	Auto	51.133333	-106.583333	595	CWOK	71450	4022359	CST	CST
PJM	Estevan	Estevan	SK	Auto	49.216667	-102.966667	580.6	CPJM	71559	4012410	CST	CST
YEN	Aéroport d'Estevan	Estevan Airport	SK	Manned	49.216667	-102.966667	580.3	CYEN	71862	4012400	CST	CST
ZHB	Hudson Bay	Hudson Bay	SK	Auto	52.816667	-102.316667	358.1	CZHB	71868	4083324	CST	CST
WBD	Indian Head AAC	Indian Head AAFC	SK	Auto	50.55	-103.65	579.1	CWBD	71515	4013480	CST	CST
PIF	Island Falls	Island Falls	SK	Auto	55.533333	-102.35	297.4	CPIF	71331	4063605	CST	CST
WHN	Jimmy Lake	Jimmy Lake	SK	Auto	54.908347	-109.961967	637.1	CWHN	71023	4063623	CST	CST
PLS	Key Lake	Key Lake	SK	Auto	57.25	-105.6	513.9	CPLS	71033	4063753	CST	CST
YKJ	Aéroport de Key Lake	Key Lake Airport	SK	Auto	57.256389	-105.6175	513.9	CYKJ	71499	4063757	CST	CST
XOX	La Ronge	La Ronge	SK	Auto	55.146394	-105.270286	378.6	CXOX	71586	4064149	CST	CST
YVC	Aéroport de La Ronge	La Ronge Airport	SK	Manned	55.151389	-105.266944	379.2	CYVC	71922	4064155	CST	CST
WXG	Last Mountain	Last Mountain	SK	Auto	51.416667	-105.25	497	CWXG	71556	4014156	CST	CST
WJX	Aéroport de Leader	Leader Airport	SK	Auto	50.909464	-109.501392	675.5	CWJX	71459	402DAF0	CST	CST
PIL	Loon Lake	Loon Lake	SK	Auto	54.019722	-109.138333	545.6	CPIL	71273	4064620	CST	CST
WLE	Lucky Lake	Lucky Lake	SK	Auto	50.95	-107.15	664.7	CWLE	71455	4024714	CST	CST
PMK	Mankota	Mankota	SK	Auto	49.099167	-107.024453	830	CPMK	71204	4034910	CST	CST
WMQ	Maple Creek	Maple Creek	SK	Auto	49.902514	-109.466128	766.7	CWMQ	71453	4024919	CST	CST
WLJ	Meadow Lake	Meadow Lake	SK	Auto	54.133333	-108.516667	481	CWLJ	71970	406N0NM	CST	CST
YLJ	Aéroport de Meadow Lake	Meadow Lake Airport	SK	Manned	54.125278	-108.050284	480.7	CYLJ	71125	4065057	CST	CST
WFF	Melfort	Melfort	SK	Auto	52.816667	-104.6	490	CWFF	71456	4055079	CST	CST
ZMJ	Moose Jaw	Moose Jaw	SK	Auto	50.331681	-105.537508	577	CZMJ	71539	4015322	CST	CST
WBU	Nipawin	Nipawin	SK	Auto	53.333333	-104	371.9	CWBU	71312	407N51G	CST	CST
YBU	Aéroport de Nipawin	Nipawin Airport	SK	Auto	53.3325	-104.008333	371.9	CYBU	71130	4075525	CST	CST
PQW	North Battleford	North Battleford	SK	Auto	52.771946	-108.255557	548	CPQW	71754	4045607	CST	CST
YQW	Aéroport de North Battleford	North Battleford Airport	SK	Auto	52.769167	-108.243611	548.3	CYQW	71876	4045695	CST	CST
PUN	Pilger	Pilger	SK	Auto	52.416667	-105.15	552	CPUN		4056121	CST	CST
YPA	Aéroport de Prince Albert	Prince Albert Airport	SK	Manned	53.214444	-105.673056	428.2	CYPA	71869	4056241	CST	CST
WDJ	Regina	Regina	SK	Auto	50.433333	-104.666667	577.3	CWDJ	71514	4016699	CST	CST
YQR	Aéroport int. de Regina	Regina Int'l Airport	SK	Manned	50.432222	-104.666111	577.6	CYQR		4016566	CST	CST
WKO	Rockglen	Rockglen	SK	Auto	49.167789	-105.979183	917	CWKO	71135	4036844	CST	CST
WRJ	Aéroport de Rosetown	Rosetown Airport	SK	Auto	51.566667	-107.916667	586	CWRJ	71510	4046884	CST	CST
POX	Saskatoon	Saskatoon	SK	Auto	52.173611	-106.718889	504.1	CPOX	71496	4057165	CST	CST
YXE	Aéroport int. Diefenbaker de Saskatoon	Saskatoon Diefenbaker Int'l Airport	SK	Manned	52.170833	-106.7	504.1	CYXE	71866	4057152	CST	CST
WTS	Scott AAC	Scott AAFC	SK	Auto	52.35974	-108.834723	659.6	CWTS	71489	4047240	CST	CST
WJH	Southend	Southend	SK	Auto	56.333333	-103.283333	344.1	CWJH	71451	4067655	CST	CST
WSR	Spiritwood	Spiritwood	SK	Auto	53.366667	-107.55	584.3	CWSR	71133	4067723	CST	CST
YSF	Aéroport de Stony Rapids	Stony Rapids Airport	SK	Auto	59.250278	-105.841389	244.15	CYSF	71132	4067799	CST	CST
WVC	Swift Current	Swift Current	SK	Auto	50.266667	-107.733333	825	CWVC	71446	4028060	CST	CST
YYN	Aéroport de Swift Current	Swift Current Airport	SK	Auto	50.291944	-107.690556	816.9	CYYN	71142	4028038	CST	CST
WDC	Uranium City	Uranium City	SK	Auto	59.566667	-108.483333	318.2	CWDC	71076	406QLD0	CST	CST
WVN	Val Marie	Val Marie	SK	Auto	49.058334	-107.585836	796	CWVN	71137	4038412	CST	CST
PWX	Waseca	Waseca	SK	Auto	53.131391	-109.405002	640	CPWX	71663	4048521	CST	CST
WLV	Waskesiu Lake	Waskesiu Lake	SK	Auto	53.916667	-106.066667	569.4	CWLV	71454	4068559	CST	CST
WIW	Watrous	Watrous	SK	Auto	51.666667	-105.4	525.6	CWIW	71511	4018642	CST	CST
WWF	Weyburn	Weyburn	SK	Auto	49.7	-103.8	588.6	CWWF	71452	401HP5R	CST	CST
WOY	Wynyard	Wynyard	SK	Auto	51.766667	-104.2	560.1	CWOY	71865	40190LN	CST	CST
PRJ	Yorkton	Yorkton	SK	Auto	51.264722	-102.464444	498.4	CPRJ	71886	4019073	CST	CST
YQV	Aéroport de Yorkton	Yorkton Airport	SK	Auto	51.264722	-102.461667	498.3	CYQV	71292	4019075	CST	CST
YXQ	Aéroport de Beaver Creek	Beaver Creek Airport	YT	Manned	62.410278	-140.8675	649	CYXQ		2100160	PDT	PST
VBR	Burwash	Burwash	YT	Auto	61.366667	-139.016667	807	CVBR	71195	2100184	PDT	PST
YDB	Aéroport de Burwash	Burwash Airport	YT	Auto	61.370556	-139.04	805.3	CYDB	71001	2100181	PDT	PST
YDB	Aéroport de Burwash	Burwash Airport	YT	Manned	61.370556	-139.04	806.2	CYDB		2100180	PDT	PST
XCK	Carmacks	Carmacks	YT	Auto	62.115	-136.191972	542.9	CXCK	71039	2100301	PDT	PST
WON	Dawson	Dawson	YT	Auto	64.05	-139.133333	370	CWON	71966	2100LRP	PDT	PST
YDA	Aéroport de Dawson	Dawson Airport	YT	Manned	64.042222	-139.130278	370.3	CYDA		2100401	PDT	PST
WUM	Faro	Faro	YT	Auto	62.2075	-133.375833	716.6	CWUM	71949	2100518	PDT	PST
ZFA	Aéroport de Faro	Faro Airport	YT	Manned	62.206944	-133.373333	716.3	CZFA		2100519	PDT	PST
WHT	Haines Junction	Haines Junction	YT	Auto	60.772502	-137.580279	595.3	CWHT	71505	2100630	PDT	PST
WJN	Herschel Island	Herschel Island	YT	Auto	69.568194	-138.913389	1.2	CWJN	71501	2100636	PDT	PST
WOI	Parc national Ivvavik	Ivvavik National Park	YT	Auto	69.164444	-140.15	243.8	CWOI	71978	2100660	PDT	PST
WKM	Komakuk Beach	Komakuk Beach	YT	Auto	69.611944	-140.196944	13.2	CWKM	71046	2100682	PDT	PST
WNV	Macmillan Pass	Macmillan Pass	YT	Auto	63.243618	-130.03723	1379	CWNV	71990	2100693	PDT	PST
WZR	Margaret Lake	Margaret Lake	YT	Auto	68.800556	-140.8475	568	CWZR	71977	2100697	PDT	PST
YMA	Aéroport de Mayo	Mayo Airport	YT	Manned	63.616389	-135.868333	503.8	CYMA	71965	2100701	PDT	PST
ZOC	Old Crow	Old Crow	YT	Auto	67.570556	-139.839167	251.2	CZOC	71044	2100805	PDT	PST
YOC	Aéroport d'Old Crow	Old Crow Airport	YT	Manned	67.57	-139.84	250.2	CYOC		2100801	PDT	PST
WRR	Rock River	Rock River	YT	Auto	66.981111	-136.218056	731	CWRR	71506	2100935	PDT	PST
YUA	Aéroport de Shingle Point	Shingle Point Airport	YT	Auto	68.95	-137.216667	49.4	CYUA	71968	2100950	PDT	PST
WZW	Teslin	Teslin	YT	Auto	60.166667	-132.733333	705	CWZW	71045	2101102	PDT	PST
YZW	Aéroport de Teslin	Teslin Airport	YT	Manned	60.174139	-132.735889	705	CYZW		2101100	PDT	PST
XQH	Watson Lake	Watson Lake	YT	Auto	60.117778	-128.821944	689.5	CXQH	71199	2101204	PDT	PST
YQH	Aéroport de Watson Lake	Watson Lake Airport	YT	Manned	60.1165	-128.822333	687.35	CYQH	71953	2101200	PDT	PST
VXY	Whitehorse	Whitehorse	YT	Auto	60.733056	-135.097778	707	CVXY	71773	2101310	PDT	PST
YXY	Aéroport de Whitehorse	Whitehorse Airport	YT	Manned	60.709444	-135.067222	706.2	CYXY	71964	2101303	PDT	PST
