# IATA	 FR Name / Nom FR	 EN name / Nom EN	 Province	 AUTO/MAN	Latitude	Longitude	 Elevation (m)	 # ICAO	# WMO	# Climate / Climat	DST Time Zone / Fuseau horaire été	 STD Time Zone / Fuseau horaire heure normale
WYI	Pool's Island	Pool's Island	NL	Auto	49.112222	-53.581111	19.3	CWYI	71931	840BR7C	NDT	NST
WZB	Port aux Basques	Port aux Basques	NL	Mixed	47.573889	-59.154722	39.7	CWZB	71197	8402975	NDT	NST
XRH	Rocky Harbour	Rocky Harbour	NL	Auto	49.57	-57.877778	67.7	CXRH	71588	8403097	NDT	NST
WZZ	Saglek	Saglek	NL	Auto	58.333333	-62.585556	500.5	CWZZ	71335	8503249	ADT	AST
WZN	Sagona Island	Sagona Island	NL	Auto	47.367778	-55.794722	59.7	CWZN	71408	8403255	NDT	NST
WDW	St. Anthony	St. Anthony	NL	Auto	51.383333	-56.1	29.3	CWDW	71558	8403399	NDT	NST
YAY	Aéroport de St. Anthony	St. Anthony Airport	NL	Auto	51.391944	-56.068889	32.9	CYAY	71819	8403389	NDT	NST
YYT	Aéroport int. de St. John's	St. John's Int'l Airport	NL	Manned	47.618611	-52.7525	140.5	CYYT	71801	8403505	NDT	NST
AJW	St. John's West AAC	St. John's West AAFC	NL	Auto	47.513356	-52.783339	110	CAJW	71250	8403603	NDT	NST
ADS	St. Lawrence	St. Lawrence	NL	Auto	46.916667	-55.383333	48.5	CADS	71110	8403619	NDT	NST
AJT	Stephenville	Stephenville	NL	Auto	48.561389	-58.566111	58	CAJT	71159	8403820	NDT	NST
YJT	Aéroport de Stephenville	Stephenville Airport	NL	Manned	48.533333	-58.55	24.7	CYJT	71815	8403800	NDT	NST
XTP	Parc national de Terra-Nova	Terra Nova National Park	NL	Auto	48.556944	-53.974444	106.7	CXTP	71589	8403851	NDT	NST
WTU	Tukialik Bay	Tukialik Bay	NL	Auto	54.715833	-58.357778	682.6	CWTU	71179	8503992	ADT	AST
WDO	Twillingate	Twillingate	NL	Auto	49.683333	-54.8	92.3	CWDO	71402	8404025	NDT	NST
YWK	Aéroport de Wabush	Wabush Airport	NL	Manned	52.922778	-66.864722	551.4	CYWK	71825	8504176	ADT	AST
AWR	Wreckhouse	Wreckhouse	NL	Auto	47.711667	-59.308333	31.7	CAWR	71180	8404343	NDT	NST
ERU	Emergency Weather Station #2	Emergency Weather Station #2	NS	Auto	44.727778	-64.456111	135	CERU		8202195	ADT	AST
EQI	Yarmouth RCS	Yarmouth RCS	NS	Auto	43.830836	-66.088058	36	CEQI	71884	8206491	ADT	AST
WZU	Shearwater Jetty N.S.	Shearwater Jetty N.S.	NS	Auto	44.627778	-63.523333	5.5	CWZU		8205093	ADT	AST
ACP	Baccaro Point	Baccaro Point	NS	Auto	43.450833	-65.471667	4.6	CACP	71920	8200255	ADT	AST
WBV	Beaver Island	Beaver Island	NS	Auto	44.816667	-62.333333	16	CWBV	71403	8200558	ADT	AST
ABB	Bedford Basin	Bedford Basin	NS	Auto	44.70778	-63.634167	3.5	CABB	71329	8200573	ADT	AST
ABR	Bedford Range	Bedford Range	NS	Auto	44.745858	-63.661689	9.6	CABR	71325	8200574	ADT	AST
WVU	Brier Island	Brier Island	NS	Auto	44.285833	-66.346667	15.8	CWVU	71988	8200604	ADT	AST
YZX	BFC Greenwood	CFB Greenwood	NS	Manned	44.983333	-64.916667	28	CYZX	71397	8202000	ADT	AST
WBK	Caribou Point	Caribou Point	NS	Auto	45.766667	-62.683333	2.4	CWBK	71415	8200774	ADT	AST
XCH	Chéticamp	Chéticamp	NS	Auto	46.645	-60.947222	43.9	CXCH	71959	8200827	ADT	AST
